age_group_simple,state,type,state_duration,count
51+,home,censored,3,8
51+,home,censored,4,11
51+,home,censored,5,30
51+,home,censored,6,21
51+,home,censored,7,13
51+,home,censored,8,23
51+,home,censored,9,20
51+,home,censored,10,12
51+,home,censored,11,10
51+,home,censored,12,29
51+,home,censored,13,30
51+,home,censored,14,24
51+,home,censored,15,8
51+,home,censored,16,10
51+,home,censored,17,8
51+,home,censored,18,3
51+,home,censored,19,5
51+,home,censored,20,6
51+,home,censored,21,1
51+,home,censored,22,4
51+,home,censored,23,1
51+,home,censored,25,2
51+,home,imputed,1,14
51+,home,imputed,2,8
51+,home,imputed,3,6
51+,home,imputed,4,3
51+,home,imputed,5,5
51+,home,imputed,6,9
51+,home,imputed,7,10
51+,home,imputed,8,20
51+,home,imputed,9,11
51+,home,imputed,10,22
51+,home,imputed,11,20
51+,home,imputed,12,20
51+,home,imputed,13,37
51+,home,imputed,14,97
51+,home,imputed,15,60
51+,home,imputed,16,34
51+,home,imputed,17,32
51+,home,imputed,18,21
51+,home,imputed,19,23
51+,home,imputed,20,26
51+,home,imputed,21,4
51+,home,imputed,22,8
51+,home,imputed,23,5
51+,home,imputed,24,6
51+,home,imputed,26,11
51+,home,imputed,27,2
51+,home,imputed,29,2
51+,home,imputed,30,5
51+,home,imputed,32,1
51+,home,uncensored,1,14
51+,home,uncensored,2,8
51+,home,uncensored,3,6
51+,home,uncensored,4,3
51+,home,uncensored,5,5
51+,home,uncensored,6,8
51+,home,uncensored,7,8
51+,home,uncensored,8,17
51+,home,uncensored,9,6
51+,home,uncensored,10,13
51+,home,uncensored,11,13
51+,home,uncensored,12,13
51+,home,uncensored,13,19
51+,home,uncensored,14,34
51+,home,uncensored,15,21
51+,home,uncensored,16,10
51+,home,uncensored,17,11
51+,home,uncensored,18,8
51+,home,uncensored,19,4
51+,home,uncensored,20,9
51+,home,uncensored,21,1
51+,home,uncensored,22,1
51+,home,uncensored,23,2
51+,home,uncensored,24,2
51+,home,uncensored,26,1
51+,home,uncensored,29,1
51+,home,uncensored,30,2
51+,home,uncensored,32,1
51+,inpatient_ward,censored,2,2
51+,inpatient_ward,censored,4,1
51+,inpatient_ward,censored,5,1
51+,inpatient_ward,censored,6,1
51+,inpatient_ward,censored,7,1
51+,inpatient_ward,censored,8,3
51+,inpatient_ward,censored,9,1
51+,inpatient_ward,censored,10,8
51+,inpatient_ward,censored,11,2
51+,inpatient_ward,censored,13,1
51+,inpatient_ward,censored,14,1
51+,inpatient_ward,censored,15,1
51+,inpatient_ward,censored,17,1
51+,inpatient_ward,imputed,1,15
51+,inpatient_ward,imputed,2,5
51+,inpatient_ward,imputed,3,18
51+,inpatient_ward,imputed,4,7
51+,inpatient_ward,imputed,5,5
51+,inpatient_ward,imputed,6,2
51+,inpatient_ward,imputed,7,3
51+,inpatient_ward,imputed,8,9
51+,inpatient_ward,imputed,9,1
51+,inpatient_ward,imputed,10,8
51+,inpatient_ward,imputed,11,2
51+,inpatient_ward,imputed,13,1
51+,inpatient_ward,imputed,14,1
51+,inpatient_ward,imputed,15,1
51+,inpatient_ward,imputed,17,1
51+,inpatient_ward,uncensored,1,15
51+,inpatient_ward,uncensored,2,5
51+,inpatient_ward,uncensored,3,17
51+,inpatient_ward,uncensored,4,6
51+,inpatient_ward,uncensored,5,4
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,2
51+,inpatient_ward,uncensored,8,4
51+,intensive_care_unit,censored,2,1
51+,intensive_care_unit,censored,3,1
51+,intensive_care_unit,censored,7,1
51+,intensive_care_unit,censored,9,1
51+,intensive_care_unit,censored,11,1
51+,intensive_care_unit,censored,13,2
51+,intensive_care_unit,censored,14,1
51+,intensive_care_unit,censored,15,1
51+,intensive_care_unit,imputed,1,6
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,5,1
51+,intensive_care_unit,imputed,7,2
51+,intensive_care_unit,imputed,11,1
51+,intensive_care_unit,imputed,14,2
51+,intensive_care_unit,imputed,18,1
51+,intensive_care_unit,imputed,19,1
51+,intensive_care_unit,imputed,22,2
51+,intensive_care_unit,imputed,25,1
51+,intensive_care_unit,imputed,27,1
51+,intensive_care_unit,uncensored,1,6
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
51+,intensive_care_unit,uncensored,7,2
51+,intensive_care_unit,uncensored,11,1
