age_group_simple,state,type,state_duration,count
51+,inpatient_ward,censored,4,1
51+,inpatient_ward,censored,5,1
51+,inpatient_ward,censored,6,1
51+,inpatient_ward,censored,7,3
51+,inpatient_ward,censored,8,1
51+,inpatient_ward,censored,9,8
51+,inpatient_ward,censored,10,2
51+,inpatient_ward,censored,12,1
51+,inpatient_ward,censored,13,1
51+,inpatient_ward,censored,14,1
51+,inpatient_ward,censored,16,1
51+,inpatient_ward,imputed,1,15
51+,inpatient_ward,imputed,2,6
51+,inpatient_ward,imputed,3,21
51+,inpatient_ward,imputed,4,6
51+,inpatient_ward,imputed,5,5
51+,inpatient_ward,imputed,6,4
51+,inpatient_ward,imputed,7,2
51+,inpatient_ward,imputed,8,9
51+,inpatient_ward,imputed,9,8
51+,inpatient_ward,imputed,10,2
51+,inpatient_ward,imputed,12,1
51+,inpatient_ward,imputed,13,1
51+,inpatient_ward,imputed,14,1
51+,inpatient_ward,imputed,16,1
51+,inpatient_ward,uncensored,1,15
51+,inpatient_ward,uncensored,2,6
51+,inpatient_ward,uncensored,3,21
51+,inpatient_ward,uncensored,4,6
51+,inpatient_ward,uncensored,5,4
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,2
51+,inpatient_ward,uncensored,8,4
51+,intensive_care_unit,censored,2,1
51+,intensive_care_unit,censored,6,1
51+,intensive_care_unit,censored,7,1
51+,intensive_care_unit,censored,8,1
51+,intensive_care_unit,censored,10,1
51+,intensive_care_unit,censored,12,2
51+,intensive_care_unit,censored,13,1
51+,intensive_care_unit,censored,14,1
51+,intensive_care_unit,imputed,1,7
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,7,2
51+,intensive_care_unit,imputed,11,2
51+,intensive_care_unit,imputed,12,1
51+,intensive_care_unit,imputed,13,1
51+,intensive_care_unit,imputed,14,1
51+,intensive_care_unit,imputed,15,1
51+,intensive_care_unit,imputed,19,1
51+,intensive_care_unit,imputed,21,1
51+,intensive_care_unit,imputed,22,2
51+,intensive_care_unit,uncensored,1,7
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
51+,intensive_care_unit,uncensored,7,2
51+,intensive_care_unit,uncensored,11,1
