age_group_simple,state,type,state_duration,count
0-50,inpatient_ward,imputed,1,4
0-50,inpatient_ward,imputed,2,1
0-50,inpatient_ward,imputed,3,3
0-50,inpatient_ward,imputed,4,2
0-50,inpatient_ward,imputed,6,1
0-50,inpatient_ward,uncensored,1,4
0-50,inpatient_ward,uncensored,2,1
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,1
0-50,intensive_care_unit,censored,5,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,25,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,10
51+,home,censored,3,8
51+,home,censored,4,19
51+,home,censored,5,20
51+,home,censored,6,15
51+,home,censored,7,10
51+,home,censored,8,31
51+,home,censored,9,30
51+,home,censored,10,28
51+,home,censored,11,21
51+,home,censored,12,21
51+,home,censored,13,18
51+,home,censored,14,3
51+,home,censored,15,11
51+,home,censored,16,11
51+,home,censored,17,5
51+,home,censored,18,7
51+,home,censored,19,2
51+,home,censored,21,4
51+,home,censored,24,1
51+,home,imputed,1,13
51+,home,imputed,2,7
51+,home,imputed,3,5
51+,home,imputed,4,4
51+,home,imputed,5,4
51+,home,imputed,6,7
51+,home,imputed,7,7
51+,home,imputed,8,6
51+,home,imputed,9,5
51+,home,imputed,10,8
51+,home,imputed,11,13
51+,home,imputed,12,5
51+,home,imputed,13,13
51+,home,imputed,14,137
51+,home,imputed,15,44
51+,home,imputed,16,40
51+,home,imputed,17,32
51+,home,imputed,18,20
51+,home,imputed,19,15
51+,home,imputed,20,29
51+,home,imputed,21,1
51+,home,imputed,22,10
51+,home,imputed,23,7
51+,home,imputed,24,4
51+,home,imputed,26,5
51+,home,imputed,27,1
51+,home,uncensored,1,13
51+,home,uncensored,2,7
51+,home,uncensored,3,5
51+,home,uncensored,4,3
51+,home,uncensored,5,4
51+,home,uncensored,6,6
51+,home,uncensored,7,4
51+,home,uncensored,8,4
51+,home,uncensored,9,3
51+,home,uncensored,10,4
51+,home,uncensored,11,5
51+,home,uncensored,12,2
51+,home,uncensored,13,6
51+,home,uncensored,14,41
51+,home,uncensored,15,10
51+,home,uncensored,16,13
51+,home,uncensored,17,10
51+,home,uncensored,18,5
51+,home,uncensored,19,6
51+,home,uncensored,20,9
51+,home,uncensored,22,2
51+,home,uncensored,23,2
51+,home,uncensored,24,2
51+,home,uncensored,26,1
51+,inpatient_ward,censored,2,2
51+,inpatient_ward,censored,3,3
51+,inpatient_ward,censored,4,4
51+,inpatient_ward,censored,5,1
51+,inpatient_ward,censored,6,8
51+,inpatient_ward,censored,7,2
51+,inpatient_ward,censored,9,1
51+,inpatient_ward,censored,10,1
51+,inpatient_ward,censored,11,1
51+,inpatient_ward,censored,13,1
51+,inpatient_ward,imputed,1,13
51+,inpatient_ward,imputed,2,5
51+,inpatient_ward,imputed,3,17
51+,inpatient_ward,imputed,4,8
51+,inpatient_ward,imputed,5,3
51+,inpatient_ward,imputed,6,3
51+,inpatient_ward,imputed,7,10
51+,inpatient_ward,imputed,8,9
51+,inpatient_ward,imputed,9,1
51+,inpatient_ward,imputed,10,1
51+,inpatient_ward,imputed,11,1
51+,inpatient_ward,imputed,13,1
51+,inpatient_ward,uncensored,1,13
51+,inpatient_ward,uncensored,2,5
51+,inpatient_ward,uncensored,3,16
51+,inpatient_ward,uncensored,4,5
51+,inpatient_ward,uncensored,5,2
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,2
51+,inpatient_ward,uncensored,8,3
51+,intensive_care_unit,censored,3,1
51+,intensive_care_unit,censored,4,1
51+,intensive_care_unit,censored,5,1
51+,intensive_care_unit,censored,6,1
51+,intensive_care_unit,censored,7,1
51+,intensive_care_unit,censored,9,2
51+,intensive_care_unit,censored,10,1
51+,intensive_care_unit,censored,11,1
51+,intensive_care_unit,imputed,1,7
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,7,2
51+,intensive_care_unit,imputed,8,1
51+,intensive_care_unit,imputed,9,1
51+,intensive_care_unit,imputed,11,1
51+,intensive_care_unit,imputed,13,2
51+,intensive_care_unit,imputed,17,1
51+,intensive_care_unit,imputed,19,1
51+,intensive_care_unit,imputed,21,1
51+,intensive_care_unit,imputed,22,1
51+,intensive_care_unit,uncensored,1,7
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
51+,intensive_care_unit,uncensored,7,1
51+,intensive_care_unit,uncensored,11,1
