"date","agegroup","variable","value"
"140",2020-03-30,"50-59","fj_innlagna_a_spitala",1
"141",2020-03-30,"50-59","fj_batnad",11
"142",2020-03-30,"60-69","fj_innlagna_a_spitala",1
"143",2020-03-30,"60-69","fj_batnad",7
"144",2020-03-30,"60-69","fj_utskrifta_af_icu",1
"145",2020-03-30,"60-69","fj_innlagna_a_spitala",1
"146",2020-03-30,"70-79","fj_utskrifta_af_spitala",1
"147",2020-03-30,"80+","fj_batnad",1
"148",2020-03-31,"0-9","fj_batnad",1
"149",2020-03-31,"10-19","fj_batnad",5
"150",2020-03-31,"20-29","fj_batnad",5
"151",2020-03-31,"30-39","fj_batnad",6
"152",2020-03-31,"40-49","fj_batnad",9
"153",2020-03-31,"40-49","fj_utskrifta_af_spitala",1
"154",2020-03-31,"50-59","fj_innlagna_a_spitala",1
"155",2020-03-31,"50-59","fj_batnad",13
"156",2020-03-31,"50-59","fj_utskrifta_af_spitala",1
"157",2020-03-31,"50-59","fj_innlagna_a_icu",1
"158",2020-03-31,"50-59","fj_innlagna_a_spitala",1
"159",2020-03-31,"60-69","fj_innlagna_a_spitala",3
"160",2020-03-31,"60-69","fj_batnad",1
"161",2020-03-31,"60-69","fj_innlagna_a_icu",1
"162",2020-03-31,"60-69","fj_innlagna_a_spitala",1
"163",2020-03-31,"70-79","fj_innlagna_a_spitala",2
"164",2020-03-31,"70-79","fj_utskrifta_af_spitala",1
"165",2020-04-01,"20-29","fj_batnad",4
"166",2020-04-01,"30-39","fj_innlagna_a_spitala",3
"167",2020-04-01,"30-39","fj_batnad",3
"168",2020-04-01,"40-49","fj_batnad",1
"169",2020-04-01,"50-59","fj_innlagna_a_spitala",1
"170",2020-04-01,"50-59","fj_batnad",4
"171",2020-04-01,"50-59","fj_utskrifta_af_spitala",1
"172",2020-04-01,"60-69","fj_batnad",1
"173",2020-04-01,"60-69","fj_innlagna_a_icu",2
"174",2020-04-01,"60-69","fj_utskrifta_af_icu",2
"175",2020-04-01,"70-79","fj_innlagna_a_spitala",1
"176",2020-04-01,"70-79","fj_andlata",1
