age_group_simple,state,type,state_duration,count
51+,home,imputed,11,6
51+,home,imputed,12,7
51+,home,imputed,13,12
51+,home,imputed,14,128
51+,home,imputed,15,54
51+,home,imputed,16,47
51+,home,imputed,17,37
51+,home,imputed,18,17
51+,home,imputed,19,20
51+,home,imputed,20,25
51+,home,imputed,21,3
51+,home,imputed,22,9
51+,home,imputed,23,9
51+,home,imputed,24,6
51+,home,imputed,26,4
51+,home,imputed,27,3
51+,home,uncensored,1,13
51+,home,uncensored,2,7
51+,home,uncensored,3,5
51+,home,uncensored,4,3
51+,home,uncensored,5,4
51+,home,uncensored,6,6
51+,home,uncensored,7,3
51+,home,uncensored,8,6
51+,home,uncensored,9,3
51+,home,uncensored,10,3
51+,home,uncensored,11,5
51+,home,uncensored,12,2
51+,home,uncensored,13,3
51+,home,uncensored,14,41
51+,home,uncensored,15,10
51+,home,uncensored,16,17
51+,home,uncensored,17,10
51+,home,uncensored,18,4
51+,home,uncensored,19,6
51+,home,uncensored,20,9
51+,home,uncensored,21,1
51+,home,uncensored,22,2
51+,home,uncensored,23,2
51+,home,uncensored,24,2
51+,home,uncensored,26,1
51+,inpatient_ward,censored,2,2
51+,inpatient_ward,censored,3,1
51+,inpatient_ward,censored,4,1
51+,inpatient_ward,censored,5,4
51+,inpatient_ward,censored,6,1
51+,inpatient_ward,censored,7,8
51+,inpatient_ward,censored,8,2
51+,inpatient_ward,censored,10,1
51+,inpatient_ward,censored,11,1
51+,inpatient_ward,censored,12,1
51+,inpatient_ward,censored,14,1
51+,inpatient_ward,imputed,1,14
51+,inpatient_ward,imputed,2,6
51+,inpatient_ward,imputed,3,19
51+,inpatient_ward,imputed,4,7
51+,inpatient_ward,imputed,5,3
51+,inpatient_ward,imputed,6,5
51+,inpatient_ward,imputed,7,4
51+,inpatient_ward,imputed,8,15
51+,inpatient_ward,imputed,10,1
51+,inpatient_ward,imputed,11,1
51+,inpatient_ward,imputed,12,1
51+,inpatient_ward,imputed,14,1
51+,inpatient_ward,uncensored,1,14
51+,inpatient_ward,uncensored,2,6
51+,inpatient_ward,uncensored,3,19
51+,inpatient_ward,uncensored,4,6
51+,inpatient_ward,uncensored,5,2
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,2
51+,inpatient_ward,uncensored,8,3
51+,intensive_care_unit,censored,4,1
51+,intensive_care_unit,censored,5,1
51+,intensive_care_unit,censored,6,1
51+,intensive_care_unit,censored,7,1
51+,intensive_care_unit,censored,8,1
51+,intensive_care_unit,censored,10,2
51+,intensive_care_unit,censored,11,1
51+,intensive_care_unit,censored,12,1
51+,intensive_care_unit,imputed,1,7
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,7,1
51+,intensive_care_unit,imputed,8,1
51+,intensive_care_unit,imputed,9,1
51+,intensive_care_unit,imputed,10,1
51+,intensive_care_unit,imputed,11,1
51+,intensive_care_unit,imputed,12,1
51+,intensive_care_unit,imputed,15,1
51+,intensive_care_unit,imputed,17,1
51+,intensive_care_unit,imputed,22,1
51+,intensive_care_unit,imputed,26,1
51+,intensive_care_unit,imputed,27,1
51+,intensive_care_unit,uncensored,1,7
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
51+,intensive_care_unit,uncensored,7,1
51+,intensive_care_unit,uncensored,11,1
