age_group_simple,state,type,state_duration,count
51+,home,uncensored,24,2
51+,home,uncensored,26,1
51+,inpatient_ward,censored,2,6
51+,inpatient_ward,censored,3,1
51+,inpatient_ward,censored,4,8
51+,inpatient_ward,censored,5,2
51+,inpatient_ward,censored,6,1
51+,inpatient_ward,censored,7,1
51+,inpatient_ward,censored,8,1
51+,inpatient_ward,censored,9,1
51+,inpatient_ward,censored,11,1
51+,inpatient_ward,imputed,1,9
51+,inpatient_ward,imputed,2,4
51+,inpatient_ward,imputed,3,18
51+,inpatient_ward,imputed,4,7
51+,inpatient_ward,imputed,5,6
51+,inpatient_ward,imputed,6,5
51+,inpatient_ward,imputed,7,3
51+,inpatient_ward,imputed,8,8
51+,inpatient_ward,imputed,9,1
51+,inpatient_ward,imputed,11,1
51+,inpatient_ward,uncensored,1,9
51+,inpatient_ward,uncensored,2,4
51+,inpatient_ward,uncensored,3,14
51+,inpatient_ward,uncensored,4,5
51+,inpatient_ward,uncensored,5,2
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,1
51+,inpatient_ward,uncensored,8,3
51+,intensive_care_unit,censored,2,1
51+,intensive_care_unit,censored,3,1
51+,intensive_care_unit,censored,4,1
51+,intensive_care_unit,censored,5,1
51+,intensive_care_unit,censored,7,3
51+,intensive_care_unit,censored,8,1
51+,intensive_care_unit,censored,9,1
51+,intensive_care_unit,censored,10,1
51+,intensive_care_unit,imputed,1,4
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,5,2
51+,intensive_care_unit,imputed,11,1
51+,intensive_care_unit,imputed,13,1
51+,intensive_care_unit,imputed,14,1
51+,intensive_care_unit,imputed,15,1
51+,intensive_care_unit,imputed,16,1
51+,intensive_care_unit,imputed,22,2
51+,intensive_care_unit,imputed,24,1
51+,intensive_care_unit,uncensored,1,4
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
